product_id,product_name,category,supplier,unit_cost,sale_price,on_hand,on_order,reserved,lead_time_days,min_order_qty
P001,دهن عود كمبودي 6 مل,عود ودهن,مورد العود الآسيوي,520,890,43,10,7,14,10
P002,عطر العنبر الملكي 100 مل,عطور فاخرة,مصنع العنبر - دبي,210,420,52,0,5,10,24
P003,مسك أبيض رول أون 10 مل,مسك,مسك الرياض,17,45,113,0,7,7,100
P004,عطر الورد الطائفي 50 مل,عطور نسائية,ورد الطائف,160,310,182,0,6,9,20
P005,بخور معمول فاخر 100 جم,بخور,بيت البخور,90,185,323,0,3,12,30
P006,عطر الجاذبية للرجال 100 مل,عطور رجالية,مصنع الرياض للعطور,125,260,234,0,0,8,25
P007,عطر الصندل الهندي 75 مل,عطور فاخرة,مورد الصندل الهندي,190,350,481,0,2,11,15
P008,عطر الياسمين 50 مل,عطور نسائية,مصنع الرياض للعطور,80,175,400,0,4,7,30
P009,معطر جسم منعش 200 مل,معطرات جسم,مصنع جدة للمعطرات,22,59,1307,0,2,6,120
P010,عطر الزعفران 30 مل,عطور فاخرة,مورد العود الآسيوي,215,395,291,0,0,13,12
P011,بخاخ معطر منزل - عود 300 مل,معطرات منزل,مصنع جدة للمعطرات,31,79,1436,0,11,7,100
P012,طقم هدايا عطور فاخر,هدايا,بيت الهدايا,340,650,126,10,2,15,10
P013,عطر التوت البري 50 مل,عطور نسائية,مصنع جدة للمعطرات,62,145,256,0,1,8,40
P014,عطر الفانيلا الحلو 50 مل,عطور نسائية,مصنع جدة للمعطرات,58,130,1987,50,4,7,50
P015,عطر المسك الأزرق 100 مل,عطور رجالية,مصنع الرياض للعطور,70,155,1218,0,2,9,50
P016,معطر ملابس برائحة الليمون,معطرات منزل,مصنع جدة للمعطرات,14,39,1121,0,2,6,150
P017,عطر صيفي منعش 100 مل,عطور رجالية,مصنع الرياض للعطور,52,120,1258,0,1,8,60
P018,دهن عود هندي VIP 3 مل,عود ودهن,مورد العود الآسيوي,880,1450,55,0,1,18,5
P019,عطر الأميرة الذهبي 75 مل,عطور نسائية,بيت الهدايا,290,520,24,10,1,12,10
P020,مسك الطهارة 30 مل,مسك,مسك الرياض,26,65,588,60,1,7,60
