date,product_id,product_name,category,units_sold,price,promotion
2026-03-17,P001,دهن عود كمبودي 6 مل,عود ودهن,4,890.0,0
2026-03-18,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-03-19,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-03-20,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-03-21,P001,دهن عود كمبودي 6 مل,عود ودهن,14,890.0,0
2026-03-22,P001,دهن عود كمبودي 6 مل,عود ودهن,4,890.0,0
2026-03-23,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-03-24,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-03-25,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-03-26,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-03-27,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-03-28,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-03-29,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-03-30,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-03-31,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-04-01,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-04-02,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-04-03,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-04-04,P001,دهن عود كمبودي 6 مل,عود ودهن,5,890.0,0
2026-04-05,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-04-06,P001,دهن عود كمبودي 6 مل,عود ودهن,22,890.0,0
2026-04-07,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-04-08,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-04-09,P001,دهن عود كمبودي 6 مل,عود ودهن,19,890.0,0
2026-04-10,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-04-11,P001,دهن عود كمبودي 6 مل,عود ودهن,4,890.0,0
2026-04-12,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-04-13,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-04-14,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-04-15,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-04-16,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-04-17,P001,دهن عود كمبودي 6 مل,عود ودهن,1,890.0,0
2026-04-18,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-04-19,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-04-20,P001,دهن عود كمبودي 6 مل,عود ودهن,5,890.0,0
2026-04-21,P001,دهن عود كمبودي 6 مل,عود ودهن,16,890.0,0
2026-04-22,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-04-23,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-04-24,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-04-25,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-04-26,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-04-27,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-04-28,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-04-29,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-04-30,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-05-01,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-05-02,P001,دهن عود كمبودي 6 مل,عود ودهن,5,890.0,0
2026-05-03,P001,دهن عود كمبودي 6 مل,عود ودهن,20,890.0,0
2026-05-04,P001,دهن عود كمبودي 6 مل,عود ودهن,3,890.0,0
2026-05-05,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-05-06,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-05-07,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-05-08,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-05-09,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-05-10,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-05-11,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-05-12,P001,دهن عود كمبودي 6 مل,عود ودهن,5,890.0,0
2026-05-13,P001,دهن عود كمبودي 6 مل,عود ودهن,4,890.0,0
2026-05-14,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-05-15,P001,دهن عود كمبودي 6 مل,عود ودهن,18,890.0,0
2026-05-16,P001,دهن عود كمبودي 6 مل,عود ودهن,17,890.0,0
2026-05-17,P001,دهن عود كمبودي 6 مل,عود ودهن,17,890.0,0
2026-05-18,P001,دهن عود كمبودي 6 مل,عود ودهن,4,890.0,0
2026-05-19,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-05-20,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-05-21,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-05-22,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-05-23,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-05-24,P001,دهن عود كمبودي 6 مل,عود ودهن,4,890.0,0
2026-05-25,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-05-26,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-05-27,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-05-28,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-05-29,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-05-30,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-05-31,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-06-01,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-06-02,P001,دهن عود كمبودي 6 مل,عود ودهن,2,890.0,0
2026-06-03,P001,دهن عود كمبودي 6 مل,عود ودهن,2,890.0,0
2026-06-04,P001,دهن عود كمبودي 6 مل,عود ودهن,19,890.0,0
2026-06-05,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-06-06,P001,دهن عود كمبودي 6 مل,عود ودهن,15,890.0,0
2026-06-07,P001,دهن عود كمبودي 6 مل,عود ودهن,3,890.0,0
2026-06-08,P001,دهن عود كمبودي 6 مل,عود ودهن,3,890.0,0
2026-06-09,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-06-10,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-06-11,P001,دهن عود كمبودي 6 مل,عود ودهن,6,890.0,0
2026-06-12,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-06-13,P001,دهن عود كمبودي 6 مل,عود ودهن,11,890.0,0
2026-06-14,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-06-15,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-06-16,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-06-17,P001,دهن عود كمبودي 6 مل,عود ودهن,12,890.0,0
2026-06-18,P001,دهن عود كمبودي 6 مل,عود ودهن,17,890.0,0
2026-06-19,P001,دهن عود كمبودي 6 مل,عود ودهن,19,890.0,0
2026-06-20,P001,دهن عود كمبودي 6 مل,عود ودهن,21,890.0,0
2026-06-21,P001,دهن عود كمبودي 6 مل,عود ودهن,14,890.0,0
2026-06-22,P001,دهن عود كمبودي 6 مل,عود ودهن,5,890.0,0
2026-06-23,P001,دهن عود كمبودي 6 مل,عود ودهن,14,890.0,0
2026-06-24,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-06-25,P001,دهن عود كمبودي 6 مل,عود ودهن,7,890.0,0
2026-06-26,P001,دهن عود كمبودي 6 مل,عود ودهن,21,890.0,0
2026-06-27,P001,دهن عود كمبودي 6 مل,عود ودهن,10,733.55,1
2026-06-28,P001,دهن عود كمبودي 6 مل,عود ودهن,15,733.55,1
2026-06-29,P001,دهن عود كمبودي 6 مل,عود ودهن,23,733.55,1
2026-06-30,P001,دهن عود كمبودي 6 مل,عود ودهن,15,733.55,1
2026-07-01,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-07-02,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-07-03,P001,دهن عود كمبودي 6 مل,عود ودهن,43,733.55,1
2026-07-04,P001,دهن عود كمبودي 6 مل,عود ودهن,16,733.55,1
2026-07-05,P001,دهن عود كمبودي 6 مل,عود ودهن,19,733.55,1
2026-07-06,P001,دهن عود كمبودي 6 مل,عود ودهن,15,733.55,1
2026-07-07,P001,دهن عود كمبودي 6 مل,عود ودهن,13,890.0,0
2026-07-08,P001,دهن عود كمبودي 6 مل,عود ودهن,8,890.0,0
2026-07-09,P001,دهن عود كمبودي 6 مل,عود ودهن,16,890.0,0
2026-07-10,P001,دهن عود كمبودي 6 مل,عود ودهن,4,890.0,0
2026-07-11,P001,دهن عود كمبودي 6 مل,عود ودهن,29,890.0,0
2026-07-12,P001,دهن عود كمبودي 6 مل,عود ودهن,9,890.0,0
2026-07-13,P001,دهن عود كمبودي 6 مل,عود ودهن,10,890.0,0
2026-07-14,P001,دهن عود كمبودي 6 مل,عود ودهن,11,733.55,1
2026-07-15,P001,دهن عود كمبودي 6 مل,عود ودهن,11,733.55,1
2026-07-16,P001,دهن عود كمبودي 6 مل,عود ودهن,21,733.55,1
2026-07-17,P001,دهن عود كمبودي 6 مل,عود ودهن,54,733.55,1
2026-07-18,P001,دهن عود كمبودي 6 مل,عود ودهن,14,889.32,0
2026-07-19,P001,دهن عود كمبودي 6 مل,عود ودهن,22,889.32,0
2026-07-20,P001,دهن عود كمبودي 6 مل,عود ودهن,13,889.32,0
2026-07-21,P001,دهن عود كمبودي 6 مل,عود ودهن,11,889.32,0
2026-07-22,P001,دهن عود كمبودي 6 مل,عود ودهن,15,889.32,0
2026-07-23,P001,دهن عود كمبودي 6 مل,عود ودهن,7,889.32,0
2026-07-24,P001,دهن عود كمبودي 6 مل,عود ودهن,11,889.32,0
2026-07-25,P001,دهن عود كمبودي 6 مل,عود ودهن,8,889.32,0
2026-07-26,P001,دهن عود كمبودي 6 مل,عود ودهن,17,889.32,0
2026-07-27,P001,دهن عود كمبودي 6 مل,عود ودهن,16,889.32,0
2026-07-28,P001,دهن عود كمبودي 6 مل,عود ودهن,13,889.32,0
2026-07-29,P001,دهن عود كمبودي 6 مل,عود ودهن,19,889.32,0
2026-07-30,P001,دهن عود كمبودي 6 مل,عود ودهن,17,889.32,0
2026-07-31,P001,دهن عود كمبودي 6 مل,عود ودهن,31,732.99,1
2026-08-01,P001,دهن عود كمبودي 6 مل,عود ودهن,33,732.99,1
2026-08-02,P001,دهن عود كمبودي 6 مل,عود ودهن,30,889.32,0
2026-08-03,P001,دهن عود كمبودي 6 مل,عود ودهن,9,889.32,0
2026-08-04,P001,دهن عود كمبودي 6 مل,عود ودهن,10,889.32,0
2026-08-05,P001,دهن عود كمبودي 6 مل,عود ودهن,17,889.32,0
2026-08-06,P001,دهن عود كمبودي 6 مل,عود ودهن,19,889.32,0
2026-08-07,P001,دهن عود كمبودي 6 مل,عود ودهن,28,889.32,0
2026-08-08,P001,دهن عود كمبودي 6 مل,عود ودهن,15,889.32,0
2026-08-09,P001,دهن عود كمبودي 6 مل,عود ودهن,32,889.32,0
2026-08-10,P001,دهن عود كمبودي 6 مل,عود ودهن,12,889.32,0
2026-08-11,P001,دهن عود كمبودي 6 مل,عود ودهن,8,889.32,0
2026-08-12,P001,دهن عود كمبودي 6 مل,عود ودهن,21,889.32,0
2026-08-13,P001,دهن عود كمبودي 6 مل,عود ودهن,17,889.32,0
2026-08-14,P001,دهن عود كمبودي 6 مل,عود ودهن,17,889.32,0
2026-08-15,P001,دهن عود كمبودي 6 مل,عود ودهن,19,889.32,0
2026-08-16,P001,دهن عود كمبودي 6 مل,عود ودهن,12,889.32,0
2026-08-17,P001,دهن عود كمبودي 6 مل,عود ودهن,9,889.32,0
2026-08-18,P001,دهن عود كمبودي 6 مل,عود ودهن,11,889.32,0
2026-08-19,P001,دهن عود كمبودي 6 مل,عود ودهن,17,732.99,1
2026-08-20,P001,دهن عود كمبودي 6 مل,عود ودهن,21,732.99,1
2026-08-21,P001,دهن عود كمبودي 6 مل,عود ودهن,24,889.32,0
2026-08-22,P001,دهن عود كمبودي 6 مل,عود ودهن,24,889.32,0
2026-08-23,P001,دهن عود كمبودي 6 مل,عود ودهن,6,889.32,0
2026-08-24,P001,دهن عود كمبودي 6 مل,عود ودهن,46,732.99,1
2026-08-25,P001,دهن عود كمبودي 6 مل,عود ودهن,35,732.99,1
2026-08-26,P001,دهن عود كمبودي 6 مل,عود ودهن,31,732.99,1
2026-08-27,P001,دهن عود كمبودي 6 مل,عود ودهن,15,889.32,0
2026-08-28,P001,دهن عود كمبودي 6 مل,عود ودهن,14,889.32,0
2026-08-29,P001,دهن عود كمبودي 6 مل,عود ودهن,35,889.32,0
2026-08-30,P001,دهن عود كمبودي 6 مل,عود ودهن,13,889.32,0
2026-08-31,P001,دهن عود كمبودي 6 مل,عود ودهن,16,889.32,0
2026-09-01,P001,دهن عود كمبودي 6 مل,عود ودهن,6,889.32,0
2026-09-02,P001,دهن عود كمبودي 6 مل,عود ودهن,34,889.32,0
2026-09-03,P001,دهن عود كمبودي 6 مل,عود ودهن,10,889.32,0
2026-09-04,P001,دهن عود كمبودي 6 مل,عود ودهن,18,889.32,0
2026-09-05,P001,دهن عود كمبودي 6 مل,عود ودهن,10,889.32,0
2026-09-06,P001,دهن عود كمبودي 6 مل,عود ودهن,32,889.32,0
2026-09-07,P001,دهن عود كمبودي 6 مل,عود ودهن,17,889.32,0
2026-09-08,P001,دهن عود كمبودي 6 مل,عود ودهن,13,889.32,0
2026-09-09,P001,دهن عود كمبودي 6 مل,عود ودهن,30,889.32,0
2026-09-10,P001,دهن عود كمبودي 6 مل,عود ودهن,19,889.32,0
2026-09-11,P001,دهن عود كمبودي 6 مل,عود ودهن,21,889.32,0
2026-09-12,P001,دهن عود كمبودي 6 مل,عود ودهن,11,889.32,0
2026-03-17,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,13,420.0,0
2026-03-18,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,13,420.0,0
2026-03-19,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,30,420.0,0
2026-03-20,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,23,420.0,0
2026-03-21,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,15,420.0,0
2026-03-22,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,15,420.0,0
2026-03-23,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,12,420.0,0
2026-03-24,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,12,420.0,0
2026-03-25,P002,عطر العنبر الملكي 100 مل,عطور فاخرة,19,420.0,0
